date,open,high,low,close
2018-05-16,10200.9,10366.44,9929.33,10093.12
2018-05-17,10089.43,10176.8,10054.47,10141.66
2018-05-18,10127.42,10161.9,10010.96,10045.16
2018-05-21,10105.95,10174.08,9939.99,10007.47
2018-05-22,10023.96,10176.98,10002.83,10155.58
2018-05-23,10177.72,10211.6,10086.21,10119.9
2018-05-24,10091.67,10292.5,10006.56,10206.42
2018-05-25,10175.87,10301.99,9980.92,10106.18
2018-05-28,10107.29,10333.14,9862.0,10087.4
2018-05-29,10092.64,10163.5,9916.41,9986.53
2018-05-30,9931.07,9993.95,9890.54,9953.33
2018-05-31,9947.95,10086.07,9912.03,10049.78
2018-06-01,10050.2,10199.88,9717.67,9864.58
2018-06-04,9858.21,9978.11,9796.26,9915.8
2018-06-05,9891.63,10005.26,9832.43,9945.74
2018-06-06,9929.65,9941.05,9873.56,9884.9
2018-06-07,9879.66,9915.64,9697.36,9732.8
2018-06-08,9735.45,9782.31,9697.6,9744.42
2018-06-11,9762.12,9897.32,9557.48,9691.71
2018-06-12,9723.19,9797.26,9646.38,9720.43
2018-06-13,9711.85,9836.34,9602.35,9726.66
2018-06-14,9713.36,9910.04,9706.97,9903.52
2018-06-15,9916.53,9955.89,9842.2,9881.43
2018-06-18,9899.55,9922.33,9752.23,9774.71
2018-06-19,9761.99,9854.79,9705.33,9797.93
2018-06-20,9821.19,9970.65,9676.2,9825.6
2018-06-21,9854.51,9994.12,9838.19,9977.59
2018-06-22,10016.33,10113.0,9977.25,10073.7
2018-06-25,10127.59,10225.28,10019.78,10117.37
2018-06-26,10091.11,10351.04,10026.96,10285.65
2018-06-27,10286.08,10339.91,10102.94,10156.09
2018-06-28,10156.43,10157.35,10088.0,10088.9
2018-06-29,10085.94,10085.96,9990.57,9990.59
2018-07-02,9971.15,9993.93,9929.09,9951.83
2018-07-03,9907.57,10089.94,9625.68,9806.18
2018-07-04,9808.9,9908.11,9779.88,9878.88
2018-07-05,9856.13,10065.02,9649.88,9858.7
2018-07-06,9861.25,9889.56,9676.5,9704.37
2018-07-09,9681.28,9684.5,9597.2,9600.4
2018-07-10,9568.78,9641.1,9565.12,9637.42
2018-07-11,9644.19,9751.63,9623.32,9730.57
2018-07-12,9734.98,9953.15,9732.52,9950.64
2018-07-13,9967.94,10283.62,9963.33,10278.86
2018-07-16,10346.48,10402.3,10274.22,10329.95
2018-07-17,10338.55,10387.87,10173.45,10222.21
2018-07-18,10237.09,10322.47,9905.95,9989.26
2018-07-19,9957.02,10289.42,9692.07,10022.72
2018-07-20,9984.1,10047.0,9874.87,9937.47
2018-07-23,9984.77,9993.57,9887.41,9896.13
2018-07-24,9868.75,9998.64,9704.23,9833.65
2018-07-25,9802.9,9832.43,9792.86,9822.36
2018-07-26,9821.21,10023.84,9740.56,9942.19
2018-07-27,9939.5,10002.16,9900.8,9963.37
2018-07-30,9936.43,10041.48,9845.05,9949.98
2018-07-31,9940.88,9982.17,9800.33,9841.2
2018-08-01,9877.57,9926.97,9617.09,9665.44
2018-08-02,9642.1,9792.38,9467.81,9617.72
2018-08-03,9577.59,9771.31,9422.77,9615.88
2018-08-06,9643.11,9911.51,9541.96,9808.63
2018-08-07,9823.13,9958.81,9690.99,9826.63
2018-08-08,9808.35,10026.74,9720.18,9937.4
2018-08-09,9890.35,9940.6,9836.7,9886.93
2018-08-10,9864.87,9939.09,9689.35,9762.8
2018-08-13,9761.2,9774.22,9650.68,9663.57
2018-08-14,9697.42,9737.61,9550.88,9590.62
2018-08-15,9560.84,9824.25,9558.4,9821.74
2018-08-16,9819.25,9840.85,9715.88,9737.3
2018-08-17,9757.04,10007.83,9582.0,9831.45
2018-08-20,9761.47,9857.83,9642.05,9738.18
2018-08-21,9768.43,9849.45,9761.46,9842.42
2018-08-22,9807.57,9930.33,9765.73,9888.14
2018-08-23,9898.0,9946.8,9826.38,9875.07
2018-08-24,9882.38,9913.55,9843.44,9874.59
2018-08-27,9906.77,9984.69,9730.51,9807.65
2018-08-28,9823.87,10055.51,9628.91,9859.83
2018-08-29,9789.76,9849.7,9754.69,9814.53
2018-08-30,9791.45,9836.18,9642.73,9686.98
2018-08-31,9691.0,9708.02,9538.79,9555.58
2018-09-03,9549.99,9674.32,9453.52,9577.57
2018-09-04,9591.3,9756.91,9583.8,9749.28
2018-09-05,9772.4,9898.34,9644.44,9770.36
2018-09-06,9788.21,9876.7,9673.28,9761.53
2018-09-07,9755.25,9860.9,9690.81,9796.18
2018-09-10,9742.07,10015.74,9669.72,9941.91
2018-09-11,9928.33,10001.73,9896.65,9969.91
2018-09-12,9982.38,10021.72,9889.79,9928.92
2018-09-13,9896.49,10227.46,9726.26,10054.51
2018-09-14,10073.57,10137.43,10042.32,10106.08
2018-09-17,10133.66,10313.04,10103.43,10282.37
2018-09-18,10286.28,10340.77,10252.82,10307.24
2018-09-19,10212.93,10266.53,10120.01,10173.41
2018-09-20,10134.47,10329.46,9832.56,10025.45
2018-09-21,10082.34,10300.33,9996.39,10213.27
2018-09-24,10196.53,10454.0,10156.31,10412.92
2018-09-25,10351.13,10412.93,10334.81,10396.54
2018-09-26,10435.14,10447.74,10344.45,10356.95
2018-09-27,10357.37,10597.21,10290.27,10529.01
2018-09-28,10563.97,10708.5,10263.36,10405.73
2018-10-01,10414.38,10468.44,10254.43,10307.94
2018-10-02,10322.13,10489.14,10218.91,10385.3
2018-10-03,10396.61,10558.69,10183.19,10344.45
2018-10-04,10366.12,10446.0,10268.27,10348.01
2018-10-05,10418.95,10620.91,10133.25,10333.55
2018-10-08,10363.7,10514.37,10225.64,10376.15
2018-10-09,10327.07,10554.54,10315.04,10542.26
2018-10-10,10556.39,10600.88,10512.51,10556.99
2018-10-11,10593.2,10760.25,10469.74,10636.29
2018-10-12,10674.73,10857.42,10225.22,10403.26
2018-10-15,10389.96,10430.46,10361.38,10401.85
2018-10-16,10438.27,10481.88,10266.86,10309.94
2018-10-17,10338.67,10401.63,10114.73,10176.7
2018-10-18,10255.55,10320.73,10018.82,10082.91
2018-10-19,10060.25,10093.93,10016.29,10049.94
2018-10-22,10034.65,10181.08,10009.63,10155.76
2018-10-23,10146.44,10200.99,9958.83,10012.67
2018-10-24,9997.95,10163.69,9854.63,10020.05
2018-10-25,9993.33,10133.77,9830.68,9970.81
2018-10-26,9888.51,9954.86,9872.64,9938.91
2018-10-29,9925.96,10166.49,9814.07,10053.17
2018-10-30,10064.31,10212.64,9969.07,10116.9
2018-10-31,10101.94,10354.38,10019.87,10270.94
2018-11-01,10330.75,10436.38,10152.72,10257.6
2018-11-02,10258.01,10280.61,10161.02,10183.45
2018-11-05,10222.96,10228.9,10156.56,10162.47
2018-11-06,10170.44,10235.35,10128.87,10193.69
2018-11-07,10218.99,10310.18,10126.41,10217.59
2018-11-08,10226.15,10340.14,9987.9,10100.48
2018-11-09,10142.04,10146.37,10110.26,10114.58
2018-11-12,10116.28,10185.62,10074.83,10144.06
2018-11-13,10159.17,10496.02,10097.88,10433.07
2018-11-14,10444.54,10800.03,10302.35,10654.97
2018-11-15,10645.75,10653.47,10552.0,10559.65
2018-11-16,10572.49,10690.65,10412.84,10530.53
2018-11-19,10601.36,10651.11,10317.87,10366.52
2018-11-20,10358.11,10380.42,10281.3,10303.5
2018-11-21,10316.47,10348.52,10311.44,10343.47
2018-11-22,10382.57,10642.42,10227.46,10485.77
2018-11-23,10521.71,10653.96,10275.38,10406.18
2018-11-26,10406.54,10418.92,10323.41,10335.7
2018-11-27,10262.06,10329.47,10032.14,10098.47
2018-11-28,10114.13,10181.07,10017.71,10084.45
2018-11-29,10017.52,10032.06,9956.8,9971.27
2018-11-30,10015.34,10091.74,9841.68,9917.33
2018-12-03,9922.38,10030.3,9719.19,9826.07
2018-12-04,9855.58,9882.59,9792.9,9819.81
2018-12-05,9793.27,9824.9,9604.5,9635.62
2018-12-06,9590.85,9705.48,9371.8,9485.17
2018-12-07,9492.59,9812.68,9396.0,9713.83
2018-12-10,9712.85,9778.27,9516.54,9581.07
2018-12-11,9566.95,9686.65,9351.48,9469.96
2018-12-12,9472.37,9726.3,9414.38,9667.12
2018-12-13,9747.72,10073.23,9661.6,9985.02
2018-12-14,10010.05,10074.14,9797.98,9861.11
2018-12-17,9892.21,9907.07,9810.43,9825.18
2018-12-18,9850.09,9986.84,9729.56,9866.11
2018-12-19,9910.0,10076.25,9893.54,10059.54
2018-12-20,10053.8,10185.99,9824.02,9954.91
2018-12-21,9893.73,9936.7,9889.11,9932.06
2018-12-24,9926.44,10167.34,9781.84,10021.36
2018-12-25,10045.79,10120.3,9999.04,10073.43
2018-12-26,10044.16,10077.57,10002.47,10035.85
2018-12-27,10030.54,10198.95,9856.77,10025.09
2018-12-28,10004.31,10078.95,9804.86,9878.57
2018-12-31,9923.18,9960.11,9819.98,9856.66
2019-01-01,9878.85,9949.96,9760.97,9831.75
2019-01-02,9850.99,9982.12,9729.83,9860.84
2019-01-03,9879.24,9962.92,9721.66,9804.71
2019-01-04,9803.61,9888.54,9774.87,9859.64
2019-01-07,9865.48,10163.51,9678.11,9974.07
2019-01-08,9938.67,9998.41,9935.42,9995.14
2019-01-09,9929.79,10128.03,9840.64,10037.9
2019-01-10,10042.42,10056.75,10033.47,10047.79
2019-01-11,10057.56,10152.95,9956.49,10051.82
2019-01-14,10088.35,10126.02,9939.1,9976.34
2019-01-15,10023.48,10025.19,10013.44,10015.14
2019-01-16,10062.42,10186.43,9885.1,10008.43
2019-01-17,9978.51,10246.25,9977.92,10245.65
2019-01-18,10234.82,10499.22,10165.6,10428.68
2019-01-21,10443.72,10499.99,10421.03,10477.23
2019-01-22,10557.11,10682.0,10270.86,10393.81
2019-01-23,10440.06,10477.38,10234.8,10271.51
2019-01-24,10306.06,10465.18,10252.56,10411.14
2019-01-25,10399.04,10672.42,10173.08,10445.45
2019-01-28,10417.81,10562.45,10360.81,10504.97
2019-01-29,10529.86,10554.67,10285.12,10309.42
2019-01-30,10275.43,10472.09,10223.37,10419.3
2019-01-31,10411.85,10495.25,10392.41,10475.7
2019-02-01,10472.09,10507.27,10317.89,10352.66
2019-02-04,10402.25,10407.14,10298.38,10303.22
2019-02-05,10292.27,10436.11,10193.87,10337.29
2019-02-06,10261.92,10403.58,10206.2,10347.4
2019-02-07,10363.07,10453.0,10228.77,10318.32
2019-02-08,10296.7,10359.56,10247.91,10310.7
2019-02-11,10312.02,10313.11,10285.19,10286.28
2019-02-12,10283.6,10336.24,10255.1,10307.68
2019-02-13,10299.22,10703.87,10079.28,10480.07
2019-02-14,10504.95,10580.48,10119.12,10192.4
2019-02-15,10145.64,10196.61,10119.04,10169.95
2019-02-18,10154.18,10261.09,10087.15,10193.79
2019-02-19,10214.73,10391.89,10054.22,10231.12
2019-02-20,10212.29,10291.99,10113.88,10193.43
2019-02-21,10144.35,10204.91,9942.63,10002.34
2019-02-22,10022.42,10087.81,9977.22,10042.51
2019-02-25,10076.41,10262.47,10053.56,10239.25
2019-02-26,10237.87,10284.41,10026.17,10071.96
2019-02-27,10012.89,10240.06,9946.08,10172.19
2019-02-28,10193.76,10228.68,10104.82,10139.55
2019-03-01,10089.19,10156.01,10070.04,10136.77
2019-03-04,10146.17,10149.91,10020.36,10024.05
2019-03-05,9997.4,10035.32,9953.34,9991.24
2019-03-06,9956.53,10159.67,9936.44,10139.2
2019-03-07,10125.77,10213.78,10120.5,10208.48
2019-03-08,10202.86,10467.75,10145.31,10409.03
2019-03-11,10388.93,10706.17,10234.08,10548.94
2019-03-12,10567.59,10702.28,10469.9,10604.25
2019-03-13,10590.07,10854.66,10550.22,10813.97
2019-03-14,10845.81,10901.29,10815.25,10870.66
2019-03-15,10879.83,11144.44,10711.37,10974.51
2019-03-18,10951.57,11038.64,10856.14,10943.14
2019-03-19,10914.75,11026.42,10844.13,10955.54
2019-03-20,10901.52,10994.56,10783.34,10876.16
2019-03-21,10885.65,11030.91,10854.67,10999.6
2019-03-22,10987.9,11120.67,10731.05,10862.29
2019-03-25,10785.26,11006.71,10739.85,10960.56
2019-03-26,10942.96,11150.23,10734.72,10941.97
2019-03-27,10912.44,11111.75,10889.35,11088.29
2019-03-28,11140.83,11233.96,11091.79,11184.73
2019-03-29,11127.74,11565.04,10982.02,11415.55
2019-04-01,11366.3,11622.27,11257.71,11512.29
2019-04-02,11550.69,11683.61,11189.19,11319.45
2019-04-03,11365.62,11445.33,11236.28,11315.64
2019-04-04,11290.38,11360.03,11106.22,11175.17
2019-04-05,11154.0,11311.2,10959.41,11116.08
2019-04-08,11136.65,11381.52,11063.19,11306.94
2019-04-09,11228.27,11492.11,11128.67,11391.07
2019-04-10,11327.64,11419.06,11217.08,11308.35
2019-04-11,11298.83,11359.03,11127.81,11187.42
2019-04-12,11239.56,11265.51,11170.08,11195.94
2019-04-15,11181.31,11197.97,11035.06,11051.53
2019-04-16,11054.87,11178.64,10851.76,10974.63
2019-04-17,11012.02,11089.35,10939.47,11016.76
2019-04-18,11086.62,11171.1,11077.71,11162.13
2019-04-19,11142.83,11336.06,11049.22,11241.62
2019-04-22,11241.05,11321.09,10888.13,10966.21
2019-04-23,11026.32,11041.81,10991.93,11007.39
2019-04-24,10957.24,11048.54,10929.38,11020.52
2019-04-25,11054.55,11244.71,10885.4,11075.24
2019-04-26,11041.46,11383.24,10938.83,11278.41
2019-04-29,11281.88,11313.48,10998.83,11029.73
2019-04-30,11021.71,11035.08,10949.33,10962.63
2019-05-01,10931.17,11045.82,10923.96,11038.54
2019-05-02,11006.03,11106.68,10753.24,10852.49
2019-05-03,10861.5,11149.83,10748.01,11034.54
2019-05-06,11067.55,11106.81,11044.54,11083.78
2019-05-07,11079.46,11210.54,11061.06,11191.95
2019-05-08,11194.3,11263.67,11057.38,11126.33
2019-05-09,11145.41,11372.34,11005.01,11230.86
2019-05-10,11198.18,11459.08,11108.64,11368.19
2019-05-13,11393.44,11431.02,11364.35,11401.91
2019-05-14,11429.97,11616.48,11249.5,11435.92
2019-05-15,11525.59,11677.62,11323.21,11474.56
2019-05-16,11461.63,11462.4,11369.88,11370.66
2019-05-17,11355.04,11393.37,11318.43,11356.76
2019-05-20,11382.99,11474.6,11250.98,11342.26
2019-05-21,11370.16,11424.9,11340.08,11394.75
2019-05-22,11376.47,11637.61,11265.69,11525.37
2019-05-23,11511.44,11581.39,11327.25,11396.51
2019-05-24,11415.02,11521.29,11279.41,11385.4
2019-05-27,11357.17,11604.83,11329.95,11577.09
2019-05-28,11562.84,11751.36,11300.08,11487.37
2019-05-29,11490.46,11588.22,11291.6,11388.5
2019-05-30,11422.57,11479.34,11361.69,11418.43
2019-05-31,11397.74,11531.75,11395.62,11529.6
2019-06-03,11466.05,11809.14,11194.22,11535.66
2019-06-04,11469.52,11838.29,11344.08,11710.21
2019-06-05,11666.05,11840.05,11652.02,11825.83
2019-06-06,11779.34,12026.69,11694.43,11940.62
2019-06-07,11935.09,12123.66,11830.59,12018.43
2019-06-10,11975.64,12408.61,11904.24,12335.06
2019-06-11,12309.08,12386.77,12234.51,12312.18
2019-06-12,12283.62,12322.36,12010.63,12048.62
2019-06-13,12032.71,12460.31,11844.12,12268.03
2019-06-14,12316.8,12492.78,12036.84,12211.31
2019-06-17,12235.58,12274.31,12191.98,12230.7
2019-06-18,12231.29,12463.63,12181.52,12413.12
2019-06-19,12395.96,12482.3,12116.15,12201.14
2019-06-20,12185.29,12320.08,11905.95,12039.12
2019-06-21,12050.96,12119.27,11766.57,11833.65
2019-06-24,11854.4,11930.98,11659.61,11735.42
2019-06-25,11703.51,11830.09,11670.71,11797.03
2019-06-26,11798.32,11893.75,11774.7,11869.99
2019-06-27,11797.87,11963.42,11745.83,11910.88
2019-06-28,11918.45,11930.84,11719.71,11731.91
2019-07-01,11758.76,12076.75,11132.69,11442.12
2019-07-02,11432.51,11471.57,11414.51,11453.54
2019-07-03,11516.13,11581.21,11334.4,11398.81
2019-07-04,11368.72,11506.12,11324.11,11461.15
2019-07-05,11468.62,11565.04,11458.27,11554.61
2019-07-08,11553.36,11744.12,11386.41,11576.82
2019-07-09,11573.34,11710.7,11541.62,11678.7
2019-07-10,11674.69,11757.97,11629.72,11712.86
2019-07-11,11716.63,11894.4,11608.93,11786.07
2019-07-12,11816.09,11853.79,11662.41,11699.74
2019-07-15,11748.2,11841.04,11589.01,11681.32
2019-07-16,11681.24,11962.61,11430.59,11711.32
2019-07-17,11740.0,11871.87,11690.71,11822.23
2019-07-18,11797.37,11876.36,11696.99,11775.84
2019-07-19,11802.93,11885.1,11766.26,11848.29
2019-07-22,11821.23,11904.58,11735.09,11818.42
2019-07-23,11857.15,11872.67,11792.41,11807.87
2019-07-24,11886.44,12055.99,11751.7,11920.87
2019-07-25,11916.51,11947.46,11636.72,11667.03
2019-07-26,11590.54,11638.24,11459.08,11506.43
2019-07-29,11487.52,11538.66,11274.46,11324.88
2019-07-30,11366.81,11517.01,10896.37,11042.29
2019-07-31,11060.62,11226.74,10799.92,10964.59
2019-08-01,10972.78,11104.39,10928.52,11059.78
2019-08-02,11093.3,11176.13,10947.23,11029.58
2019-08-05,11045.63,11208.46,10895.36,11058.03
2019-08-06,11098.5,11219.45,11075.05,11195.79
2019-08-07,11226.72,11394.32,11197.8,11365.05
2019-08-08,11417.05,11493.12,11285.26,11360.95
2019-08-09,11373.19,11624.18,11286.24,11535.99
2019-08-12,11567.36,11603.97,11515.74,11552.31
2019-08-13,11541.67,11575.22,11417.68,11450.96
2019-08-14,11430.32,11549.06,11262.65,11380.89
2019-08-15,11439.31,11629.61,11015.17,11201.52
2019-08-16,11208.79,11282.04,11024.54,11097.06
2019-08-19,11123.89,11128.21,11053.57,11057.86
2019-08-20,11061.97,11165.82,11056.7,11160.51
2019-08-21,11140.88,11434.13,11086.24,11378.32
2019-08-22,11378.69,11390.28,11199.7,11211.11
2019-08-23,11259.52,11282.97,11240.73,11264.17
2019-08-26,11282.95,11387.98,11036.72,11140.43
2019-08-27,11083.38,11331.11,10956.87,11203.23
2019-08-28,11196.0,11308.34,11079.27,11191.57
2019-08-29,11251.57,11294.35,10931.09,10972.81
2019-08-30,10965.78,11099.39,10956.36,11089.87
2019-09-02,11030.13,11223.38,10827.63,11020.72
2019-09-03,11083.48,11124.71,10919.8,10960.57
2019-09-04,10983.03,11047.4,10773.17,10836.68
2019-09-05,10834.4,10886.92,10711.1,10763.27
2019-09-06,10751.28,10976.31,10594.33,10818.38
2019-09-09,10853.56,11122.17,10532.91,10800.2
2019-09-10,10782.65,10939.34,10687.51,10843.65
2019-09-11,10881.07,11153.04,10619.54,10891.26
2019-09-12,10908.99,11112.54,10852.27,11055.06
2019-09-13,11063.18,11170.85,10910.63,11017.86
2019-09-16,11022.67,11026.74,10840.65,10844.65
2019-09-17,10838.96,10983.62,10832.53,10977.1
2019-09-18,11011.59,11093.58,10860.06,10941.53
2019-09-19,10913.16,11260.31,10736.5,11080.93
2019-09-20,11027.15,11170.28,10989.44,11132.21
2019-09-23,11152.75,11205.73,11067.79,11120.61
2019-09-24,11141.69,11245.18,11064.52,11167.83
2019-09-25,11183.93,11484.79,11115.21,11414.66
2019-09-26,11428.63,11789.36,11324.7,11683.12
2019-09-27,11671.89,11877.87,11491.12,11696.72
2019-09-30,11724.38,11885.86,11560.58,11722.03
2019-10-01,11720.43,11959.99,11627.97,11866.38
2019-10-02,11849.05,11971.86,11639.31,11761.21
2019-10-03,11750.21,11841.65,11717.82,11809.1
2019-10-04,11880.9,12006.3,11685.81,11810.46
2019-10-07,11749.15,12184.05,11424.12,11856.06
2019-10-08,11873.85,11982.92,11644.6,11752.57
2019-10-09,11693.52,11742.07,11505.5,11553.48
2019-10-10,11549.73,11611.26,11237.33,11297.53
2019-10-11,11282.84,11433.71,11014.7,11163.98
2019-10-14,11094.37,11172.24,11034.47,11112.24
2019-10-15,11125.22,11211.46,10994.99,11080.89
2019-10-16,11068.26,11325.97,11066.41,11324.08
2019-10-17,11252.99,11471.55,11248.8,11467.28
2019-10-18,11496.2,11580.71,11267.65,11351.1
2019-10-21,11400.07,11405.97,11393.26,11399.16
2019-10-22,11450.23,11527.32,11276.33,11352.77
2019-10-23,11365.0,11382.0,11304.9,11321.84
2019-10-24,11323.4,11373.08,11299.86,11349.48
2019-10-25,11394.79,11526.64,11300.07,11431.62
2019-10-28,11489.46,11589.75,11294.14,11393.59
2019-10-29,11432.4,11575.64,11389.46,11532.32
2019-10-30,11499.79,11545.13,11348.0,11392.92
2019-10-31,11399.8,11414.4,11383.68,11398.27
2019-11-01,11413.31,11742.02,11404.89,11733.36
2019-11-04,11669.84,11856.73,11580.74,11766.89
2019-11-05,11783.48,11966.08,11776.17,11958.66
2019-11-06,12040.48,12106.28,11910.05,11975.49
2019-11-07,11998.5,12157.32,11898.73,12057.06
2019-11-08,12110.48,12283.42,11882.22,12054.36
2019-11-11,12060.97,12099.03,11998.61,12036.6
2019-11-12,12033.95,12093.99,11879.04,11938.61
2019-11-13,11952.27,12073.4,11879.2,12000.05
2019-11-14,11970.71,12236.25,11629.11,11892.93
2019-11-15,11858.59,12078.52,11766.16,11985.11
2019-11-18,12030.73,12273.18,11892.64,12133.9
2019-11-19,12183.96,12273.09,12098.69,12187.8
2019-11-20,12151.61,12352.52,11953.48,12154.34
2019-11-21,12189.69,12304.71,12105.27,12220.07
2019-11-22,12216.89,12492.19,11908.98,12183.52
2019-11-25,12195.95,12362.82,12148.07,12314.48
2019-11-26,12331.49,12392.07,12014.4,12073.71
2019-11-27,12109.78,12125.92,12017.98,12034.03
2019-11-28,12037.02,12066.2,11749.52,11778.07
2019-11-29,11828.01,11965.49,11455.86,11590.59
2019-12-02,11601.36,11810.07,11562.35,11770.5
2019-12-03,11792.56,11975.34,11709.65,11891.73
2019-12-04,11862.04,11960.12,11705.12,11802.71
2019-12-05,11879.39,11993.9,11501.94,11613.89
2019-12-06,11630.27,11795.47,11086.03,11245.77
2019-12-09,11269.85,11279.85,11173.28,11183.21
2019-12-10,11129.38,11552.56,11068.35,11489.55
2019-12-11,11461.23,11612.42,11398.55,11549.26
2019-12-12,11592.23,11658.45,11417.39,11482.98
2019-12-13,11492.87,11618.53,11421.17,11546.5
2019-12-16,11480.4,11610.03,11226.26,11354.47
2019-12-17,11389.89,11540.28,11172.43,11321.92
2019-12-18,11303.47,11358.31,11284.07,11338.86
2019-12-19,11386.97,11446.38,11273.52,11332.65
2019-12-20,11329.67,11547.66,11219.28,11436.24
2019-12-23,11443.26,11513.89,11413.75,11484.27
2019-12-24,11524.96,11600.66,11498.05,11573.64
